,Y
099_S_4086.1,-1.55
099_S_4086.2,-2.45
094_S_4089,-2.18
094_S_4089.1,-3.67
094_S_4089.2,-2.61
082_S_4090,-0.559999999999995
082_S_4090.1,-1.84999999999999
082_S_4090.2,-2.06999999999999
082_S_4090.3,-2.20999999999999
116_S_4092,-0.909999999999997
116_S_4092.1,-0.109999999999999
116_S_4092.2,-1.75
116_S_4092.3,-2.56
014_S_4093,0.920000000000002
014_S_4093.1,0.760000000000005
014_S_4093.2,0.630000000000003
012_S_4094,-0.189999999999998
012_S_4094.1,-0.560000000000002
012_S_4094.2,-0.0499999999999972
123_S_4096,-0.399999999999999
123_S_4096.1,0.150000000000002
123_S_4096.2,-2.8
016_S_4097,0.57
941_S_4100,-0.509999999999998
941_S_4100.1,0.380000000000003
941_S_4100.2,0.130000000000003
072_S_4102,-1.32
072_S_4102.1,-3.71
072_S_4103,1.45
072_S_4103.1,0.0899999999999999
099_S_4104,0.93
099_S_4104.1,-0.82
099_S_4104.2,-0.259999999999998
011_S_4105,0.859999999999999
011_S_4105.1,0.649999999999999
011_S_4105.2,-0.359999999999999
035_S_4114,-0.5
035_S_4114.1,-0.880000000000003
035_S_4114.2,-2.23
023_S_4115,-1.05
023_S_4115.1,-0.350000000000001
023_S_4115.2,0.579999999999998
023_S_4115.3,-1.46
003_S_4119,-0.57
011_S_4120,-2.02
011_S_4120.1,-0.289999999999999
011_S_4120.2,-2.54
011_S_4120.3,-2.96
016_S_4121,-4.24
016_S_4121.1,-1.76
153_S_4125,-0.630000000000003
153_S_4125.1,-0.660000000000004
153_S_4125.2,-0.770000000000003
123_S_4127,0.550000000000004
123_S_4127.1,0.740000000000002
123_S_4127.2,-0.0599999999999952
123_S_4127.3,-0.169999999999995
012_S_4128,0.619999999999997
072_S_4131,-0.27
072_S_4131.1,-0.199999999999999
072_S_4131.2,-0.0999999999999979
153_S_4133,-0.850000000000001
153_S_4133.1,-0.509999999999998
153_S_4133.2,1.59
068_S_4134,-0.419999999999995
068_S_4134.1,-2.51
003_S_4136,-3.04
041_S_4138,-0.0700000000000003
041_S_4138.1,-1.75
041_S_4138.2,-1.39
153_S_4139,-0.759999999999998
153_S_4139.1,0.730000000000004
041_S_4143,-1.09
041_S_4143.1,-0.609999999999999
041_S_4143.2,-0.709999999999997
037_S_4146,-1.99
037_S_4146.1,-1.45
037_S_4146.2,-3.38
037_S_4146.3,-2.1
127_S_4148,3.63
127_S_4148.1,2
127_S_4148.2,2.28
127_S_4148.3,1.26
031_S_4149,0.899999999999999
031_S_4149.1,-0.0900000000000034
031_S_4149.2,2.02
006_S_4150,-0.719999999999999
006_S_4150.1,-0.509999999999998
006_S_4150.2,-3.39
153_S_4151,1.91
153_S_4151.1,-0.339999999999996
153_S_4151.2,-0.689999999999998
003_S_4152,0.390000000000001
006_S_4153,0.399999999999999
006_S_4153.1,-1.13
006_S_4153.2,-3.37
073_S_4155,0.57
073_S_4155.1,0.390000000000001
073_S_4155.2,-0.539999999999999
099_S_4157,-0.460000000000001
