method,idx,train,test
NN1,76,0.9792,1.033
NN1,80,1.065,0.7425
NN1,77,1.006,0.9973
NN1,84,1.019,0.9208
NN1,83,1.002,1.014
NN1,79,1.004,0.7757
NN1,90,1.027,0.9892
NN1,89,1.007,0.9775
NN1,86,1.009,0.9589
NN1,92,1.02,0.8911
NN1,93,0.9243,1.097
NN1,88,0.9397,1.043
NN1,91,0.9488,1.009
NN1,94,0.9179,1.124
NN1,95,0.9554,0.9766
NN1,99,1.006,0.9757
NN1,96,0.9979,1.027
NN1,98,0.964,0.9256
NN1,100,1.027,0.8328
NN1,85,0.9539,0.9773
NN1,97,0.9138,1.144
NN1,87,1.018,0.9284
NN2,10,1.016,0.9339
NN2,11,1.013,0.9435
NN2,17,1.004,0.992
NN2,7,0.9714,1.131
NN2,19,0.9903,1.066
NN2,9,0.9663,1.146
NN2,18,1.043,0.8274
NN2,35,0.9786,1.093
NN2,37,1.019,0.9359
NN2,34,1.001,1.02
NN2,6,1.017,0.938
NN2,30,0.9652,1.165
NN2,1,1.012,0.9966
NN2,15,1.008,0.964
NN2,25,1.064,0.7662
NN2,16,1.026,0.9199
NN2,3,0.9919,1.037
NN2,32,0.9987,1.031
NN2,24,1.023,0.9286
NN2,27,0.9825,1.108
NN2,26,0.998,1.016
NN2,36,0.9856,1.064
NN2,31,0.9885,1.077
NN2,29,1.003,1.01
NN2,28,0.9689,1.141
NN2,14,1.003,1.003
NN2,5,1,1.001
NN2,4,0.9856,1.085
NN2,22,1.019,0.9403
NN2,21,1.068,0.7852
NN2,8,1.023,0.9121
NN2,13,1.025,0.9031
NN2,23,1.038,0.864
NN2,2,1.045,0.8208
NN2,33,1.029,0.8952
NN2,20,1.002,1.039
NN2,12,0.9947,1.019
NN2,62,1.018,0.9646
NN2,48,0.9915,1.035
NN2,44,0.965,1.138
NN2,50,1.033,0.8732
NN2,42,1.006,0.9727
NN2,61,1.006,0.9834
NN2,51,1.04,0.8505
NN2,60,1.026,0.9184
NN2,45,1.001,1.024
NN2,59,1.041,0.8345
NN2,58,1.01,0.958
NN2,41,0.9849,1.09
NN2,46,0.9858,1.072
NN2,40,1.011,0.9709
NN2,47,1.007,1.005
NN2,49,0.9734,1.111
NN2,39,1.017,0.9372
NN2,43,0.9782,1.088
NN2,54,0.9875,1.052
NN2,38,0.9758,1.097
NN2,55,1.041,0.8573
NN2,57,0.9344,1.276
NN2,56,1.02,0.9265
NN2,52,0.9871,1.073
NN2,53,0.9722,1.149
NN2,71,1.015,0.9433
NN2,77,1.006,0.9945
NN2,69,1.007,0.9837
NN2,68,0.9715,1.126
NN2,64,1.009,0.9983
NN2,76,0.9944,1.023
NN2,63,0.9984,1.031
NN2,79,1.058,0.7762
NN2,67,1.026,0.9078
NN2,70,1.033,0.8747
NN2,83,1.003,0.9844
NN2,81,0.9763,1.088
NN2,74,0.9813,1.079
NN2,78,1.01,1.004
NN2,65,0.9907,1.036
NN2,72,0.9552,1.179
NN2,82,1.005,0.9879
NN2,75,0.978,1.103
NN2,80,1.066,0.7549
NN2,73,0.9837,1.071
NN2,66,0.9762,1.099
NN2,88,0.9924,1.035
NN2,87,1.019,0.9314
NN2,86,1.01,0.9582
NN2,85,1.006,0.9927
NN2,84,1.019,0.9242
NN2,90,1.017,0.941
NN2,91,1.004,0.9939
NN2,89,1.008,0.9787
NN2,100,1.04,0.8483
NN2,92,1.027,0.8923
NN2,95,1.008,0.9975
NN2,96,0.9973,1.031
NN2,94,0.9698,1.163
NN2,98,1.023,0.9423
NN2,97,0.979,1.083
NN2,99,1.012,0.9488
NN2,93,0.9718,1.108
