type,noise,method,index,train,test,mse1,mse2,cor1,cor2
matrix,2,FN1,43,0.297,0.2935,0.3657,0.4616,0.9415,0.9424
matrix,2,FN1,58,0.2449,0.2703,0.3536,0.4524,0.9594,0.9537
matrix,2,NN1,8,0.4144,0.5162,0.365,0.4482,0.8965,0.8713
matrix,2,NN1,4,0.21,0.311,0.3614,0.4303,0.9389,0.9169
matrix,2,NN1,6,0.181,0.2983,0.3692,0.5325,0.9536,0.9231
matrix,2,NN1,12,0.3379,0.3495,0.3667,0.4609,0.957,0.9524
matrix,2,NN1,5,0.1815,0.3792,0.4138,0.5548,0.9754,0.9556
matrix,2,NN1,15,0.1834,0.2209,0.3946,0.5132,0.9742,0.9667
matrix,2,NN1,10,0.1117,0.141,0.372,0.4637,0.959,0.9454
matrix,2,NN1,3,0.3667,0.3868,0.3602,0.4564,0.8887,0.8902
matrix,2,NN1,19,0.3958,0.5447,0.3635,0.4496,0.9066,0.854
matrix,2,NN1,16,0.293,0.4658,0.3964,0.5569,0.9516,0.9342
matrix,2,NN1,2,0.1997,0.3273,0.4124,0.6902,0.9706,0.9541
matrix,2,NN1,18,0.2074,0.3029,0.3876,0.6833,0.9711,0.9549
matrix,2,NN1,13,0.09336,0.1569,0.4098,0.5234,0.9782,0.9649
matrix,2,NN1,7,0.04948,0.07169,0.2992,0.5523,0.9971,0.9955
matrix,2,NN1,1,0.08857,0.1444,0.3924,0.5978,0.9827,0.9729
matrix,2,NN1,9,0.1291,0.2102,0.3707,0.7409,0.9732,0.9572
matrix,2,NN1,11,0.09288,0.109,0.4224,0.5545,0.9881,0.9845
matrix,2,NN1,17,0.2271,0.2659,0.3487,0.4418,0.9275,0.9151
matrix,2,NN1,14,0.03702,0.05575,0.3972,0.6073,0.9884,0.9836
matrix,2,NN1,27,0.346,0.4079,0.3566,0.467,0.9208,0.9056
matrix,2,NN1,33,0.2057,0.3488,0.35,0.4219,0.9535,0.9209
matrix,2,NN1,30,0.1315,0.2132,0.4115,0.5471,0.9717,0.9537
matrix,2,NN1,43,0.2922,0.3032,0.3598,0.4769,0.9424,0.9404
matrix,2,NN1,34,0.2428,0.2885,0.3694,0.5263,0.9358,0.9213
matrix,2,NN1,20,0.3583,0.4302,0.3831,0.5062,0.9421,0.9266
matrix,2,NN1,32,0.234,0.2865,0.3724,0.4499,0.975,0.9693
matrix,2,NN1,39,0.3027,0.3594,0.3752,0.4992,0.9409,0.9292
matrix,2,NN1,36,0.3341,0.4448,0.3508,0.4166,0.9019,0.8666
matrix,2,NN1,38,0.1313,0.1737,0.3772,0.6206,0.973,0.9634
matrix,2,NN1,24,0.2171,0.3343,0.3866,0.546,0.9615,0.9442
matrix,2,NN1,41,0.3334,0.4559,0.3894,0.5096,0.9457,0.9272
matrix,2,NN1,23,0.2583,0.3225,0.4077,0.5536,0.9669,0.9558
matrix,2,NN1,21,0.2209,0.3427,0.3867,0.5738,0.9705,0.9542
matrix,2,NN1,26,0.1657,0.2578,0.3993,0.6122,0.9761,0.9623
matrix,2,NN1,29,0.2107,0.2348,0.3774,0.5552,0.9669,0.963
matrix,2,NN1,28,0.3186,0.408,0.3534,0.4808,0.9195,0.8977
matrix,2,NN1,22,0.1734,0.2934,0.3727,0.4695,0.9556,0.9229
matrix,2,NN1,42,0.2621,0.3377,0.3631,0.5535,0.9418,0.9249
matrix,2,NN1,37,0.2213,0.3787,0.3753,0.4852,0.9489,0.9251
matrix,2,NN1,35,0.316,0.4226,0.3385,0.4144,0.896,0.8315
matrix,2,NN1,44,0.1583,0.2366,0.4003,0.5379,0.9827,0.9763
matrix,2,NN1,25,0.08143,0.2772,0.2439,0.741,0.9833,0.9416
matrix,2,NN1,31,0.1478,0.1568,0.3626,0.42,0.9553,0.955
matrix,2,NN1,40,0.07953,0.1447,0.4566,0.779,0.9851,0.9726
matrix,2,NN1,55,0.2954,0.2698,0.3497,0.4215,0.9049,0.9085
matrix,2,NN1,72,0.261,0.3503,0.373,0.5197,0.9536,0.9346
matrix,2,NN1,51,0.2493,0.5932,0.3651,0.4319,0.9256,0.8445
matrix,2,NN1,87,0.2422,0.2959,0.3561,0.4676,0.9411,0.9321
matrix,2,NN1,59,0.3288,0.4247,0.3594,0.4366,0.9076,0.8821
matrix,2,NN1,79,0.1478,0.1745,0.368,0.5249,0.9487,0.9354
matrix,2,NN1,66,0.209,0.2602,0.3692,0.4901,0.9634,0.9549
matrix,2,NN1,54,0.08698,0.1032,0.4453,0.697,0.9866,0.9823
matrix,2,NN1,94,0.3367,0.4569,0.3753,0.4673,0.9324,0.9026
matrix,2,NN1,88,0.1717,0.2516,0.3972,0.7152,0.9641,0.9438
matrix,2,NN1,91,0.2494,0.3376,0.3795,0.5471,0.9401,0.9194
matrix,2,NN1,76,0.125,0.1479,0.371,0.4724,0.961,0.9505
matrix,2,NN1,45,0.2596,0.4574,0.3788,0.5792,0.9422,0.8952
matrix,2,NN1,60,0.1897,0.3643,0.3606,0.5181,0.9505,0.9096
matrix,2,NN1,47,0.2869,0.4559,0.376,0.4832,0.9287,0.889
matrix,2,NN1,78,0.05022,0.109,0.3882,0.5779,0.9907,0.973
matrix,2,NN1,81,0.1909,0.2978,0.3675,0.5654,0.9633,0.9425
matrix,2,NN1,84,0.2094,0.4045,0.2427,0.5599,0.9539,0.9096
matrix,2,NN1,67,0.1984,0.3374,0.3837,0.5013,0.9682,0.952
matrix,2,NN1,70,0.3033,0.4569,0.3732,0.5263,0.9385,0.9179
matrix,2,NN1,73,0.1792,0.2412,0.3776,0.5915,0.9606,0.9335
matrix,2,NN1,56,0.1769,0.2967,0.358,0.4193,0.9497,0.901
matrix,2,NN1,50,0.0933,0.2272,0.4438,0.9597,0.9898,0.9774
matrix,2,NN1,57,0.1923,0.2898,0.3959,0.4655,0.9627,0.9328
matrix,2,NN1,61,0.3514,0.4345,0.3537,0.4501,0.9159,0.8898
matrix,2,NN1,93,0.104,0.1729,0.4007,0.6182,0.9815,0.9736
matrix,2,NN1,58,0.2737,0.3077,0.3951,0.5149,0.9559,0.9494
matrix,2,NN1,85,0.163,0.4568,0.2315,0.6749,0.9709,0.9121
matrix,2,NN1,63,0.2806,0.4708,0.376,0.5379,0.9659,0.9477
matrix,2,NN1,49,0.1599,0.5626,0.2695,0.6655,0.9833,0.9483
matrix,2,NN1,69,0.09799,0.1473,0.3929,0.6492,0.9762,0.9595
matrix,2,NN1,90,0.169,0.204,0.3474,0.411,0.9549,0.9444
matrix,2,NN1,64,0.2566,0.4001,0.3666,0.485,0.949,0.9302
matrix,2,NN1,52,0.16,0.2517,0.3976,0.5728,0.9739,0.9512
matrix,2,NN1,75,0.2073,0.2409,0.3545,0.4568,0.94,0.9354
matrix,2,NN1,53,0.3141,0.4245,0.3655,0.443,0.9145,0.8781
matrix,2,NN1,46,0.2305,0.3837,0.3515,0.5691,0.9624,0.9331
matrix,2,NN1,95,0.1757,0.2117,0.3624,0.5804,0.9516,0.9369
matrix,2,NN1,100,0.2088,0.2759,0.3815,0.565,0.9464,0.9332
matrix,2,NN1,99,0.2822,0.2923,0.4042,0.4983,0.9485,0.9459
matrix,2,NN1,82,0.0768,0.1989,0.2691,0.7424,0.991,0.9754
matrix,2,NN1,98,0.1581,0.308,0.3996,0.5687,0.9742,0.9518
matrix,2,NN1,96,0.2136,0.3527,0.3741,0.4742,0.9581,0.9335
matrix,2,NN1,48,0.195,0.2345,0.3809,0.4755,0.9639,0.9523
matrix,2,NN1,97,0.2536,0.3669,0.4246,0.6131,0.9638,0.9436
matrix,2,NN1,77,0.3069,0.3911,0.3692,0.5346,0.9215,0.9023
matrix,2,NN1,62,0.2755,0.2649,0.3521,0.4954,0.9181,0.9179
matrix,2,NN1,74,0.2894,0.4964,0.4189,0.6131,0.9642,0.936
matrix,2,NN1,71,0.263,0.3429,0.3635,0.5093,0.9237,0.8874
matrix,2,NN1,86,0.4974,0.5514,0.347,0.3992,0.7771,0.7475
matrix,2,NN1,68,0.2014,0.2345,0.3862,0.5219,0.9626,0.9522
matrix,2,NN1,83,0.232,0.392,0.4011,0.6549,0.9757,0.9605
matrix,2,NN1,65,0.2608,0.2711,0.359,0.4121,0.9073,0.903
matrix,2,NN1,92,0.3622,0.4193,0.3581,0.4684,0.8949,0.8703
matrix,2,NN1,80,0.1049,0.2636,0.35,0.5009,0.9709,0.9354
matrix,2,NN1,89,0.2385,0.3309,0.3755,0.5383,0.9552,0.9376
matrix,3,FLM1,7,0.6188,0.5712,4.408,5.037,0.9561,0.9597
matrix,3,FLM1,8,0.7869,0.8516,1.544,1.659,0.6906,0.6557
matrix,3,FLM1,6,0.5675,0.6387,1.766,1.837,0.8094,0.7756
matrix,3,FLM1,16,0.7289,0.7901,1.776,1.804,0.8124,0.8142
matrix,3,FLM1,18,0.6622,0.6357,1.957,2.117,0.8629,0.8686
matrix,3,FLM1,17,0.6165,0.6091,1.615,1.669,0.7409,0.7471
matrix,3,FLM1,1,0.5095,0.5843,2.807,3.054,0.8791,0.865
matrix,3,FLM1,11,0.6212,0.6017,3.504,3.717,0.9012,0.8968
matrix,3,FLM1,4,0.5988,0.7145,1.672,1.757,0.7693,0.7263
matrix,3,FLM1,2,0.6531,0.7182,2.052,2.296,0.8654,0.8592
matrix,3,FLM1,3,0.7462,0.7403,1.536,1.68,0.6695,0.6975
matrix,3,FLM1,9,0.4374,0.4237,1.729,1.95,0.879,0.8823
matrix,3,FLM1,10,0.4549,0.4483,2.011,1.975,0.8042,0.7978
matrix,3,FLM1,15,0.6091,0.6549,1.964,2.232,0.8808,0.8661
matrix,3,FLM1,5,0.6353,0.8119,2.142,2.091,0.8748,0.8493
matrix,3,FLM1,13,0.3845,0.4827,2.097,2.134,0.8886,0.8687
matrix,3,FLM1,12,0.8029,0.7831,1.732,1.877,0.8229,0.8265
matrix,3,FLM1,14,0.2732,0.2947,3.23,3.537,0.907,0.9063
matrix,3,FLM1,30,0.5936,0.6867,2.5,2.515,0.8368,0.8028
matrix,3,FLM1,31,0.5413,0.5463,1.91,2.06,0.7963,0.8051
matrix,3,FLM1,33,0.638,0.8187,1.768,1.873,0.8002,0.7205
matrix,3,FLM1,32,0.7146,0.835,1.903,2.206,0.881,0.8597
matrix,3,FLM1,34,0.6573,0.6314,1.706,1.834,0.761,0.767
matrix,3,FLM1,23,0.7428,0.7515,1.967,2.116,0.8453,0.8374
matrix,3,FLM1,22,0.5315,0.6338,1.711,1.69,0.825,0.7769
matrix,3,FLM1,25,0.5523,0.6251,2.246,2.374,0.8566,0.8274
matrix,3,FLM1,26,0.6007,0.6344,2.099,2.19,0.8822,0.8735
matrix,3,FLM1,19,0.7772,0.87,1.543,1.669,0.71,0.6287
matrix,3,FLM1,27,0.7297,0.737,1.536,1.649,0.7418,0.7421
matrix,3,FLM1,28,0.7492,0.7672,1.634,1.731,0.7166,0.7131
matrix,3,FLM1,29,0.678,0.6266,1.934,2.164,0.8471,0.8683
matrix,3,FLM1,21,0.6585,0.7494,1.864,2.065,0.8668,0.8471
matrix,3,FLM1,20,0.736,0.7609,1.582,1.721,0.7936,0.7853
matrix,3,FLM1,24,0.6624,0.7192,1.901,1.945,0.8332,0.8254
matrix,3,FLM1,36,0.7508,0.8218,1.594,1.661,0.6785,0.6266
matrix,3,FLM1,44,0.6946,0.7832,2.507,2.622,0.8959,0.8861
matrix,3,FLM1,35,0.7011,0.7543,1.506,1.546,0.6787,0.5988
matrix,3,FLM1,42,0.6924,0.7195,1.705,1.979,0.7764,0.7729
matrix,3,FLM1,52,0.6654,0.7295,2.371,2.453,0.8469,0.8119
matrix,3,FLM1,41,0.766,0.8412,1.705,1.852,0.7989,0.7748
matrix,3,FLM1,43,0.7197,0.6884,1.66,1.827,0.7828,0.8053
matrix,3,FLM1,46,0.663,0.7231,1.727,1.87,0.8394,0.8117
matrix,3,FLM1,47,0.6931,0.8105,1.659,1.752,0.7515,0.695
matrix,3,FLM1,37,0.6567,0.8079,1.815,1.918,0.7889,0.7594
matrix,3,FLM1,38,0.5206,0.5067,2.049,2.362,0.8635,0.8686
matrix,3,FLM1,64,0.6294,0.7327,1.577,1.68,0.8158,0.8009
matrix,3,FLM1,69,0.4411,0.4788,2.243,2.63,0.8719,0.8458
matrix,3,FLM1,72,0.7828,0.8172,1.962,2.099,0.7866,0.7706
matrix,3,FLM1,45,0.6954,0.9291,1.768,2.172,0.7762,0.6724
matrix,3,FLM1,53,0.6927,0.771,1.556,1.624,0.7265,0.6752
matrix,3,FLM1,70,0.703,0.7809,1.621,1.752,0.7836,0.7727
matrix,3,FLM1,54,0.5238,0.5544,3.245,4.358,0.8939,0.882
matrix,3,FLM1,67,0.663,0.7962,1.999,2.066,0.8486,0.8193
matrix,3,FLM1,66,0.6859,0.6842,1.941,2.036,0.8286,0.8304
matrix,3,FLM1,56,0.5202,0.7259,1.615,1.801,0.8115,0.6811
matrix,3,FLM1,55,0.6861,0.6416,1.548,1.701,0.6962,0.718
matrix,3,FLM1,65,0.6928,0.6831,1.697,1.768,0.6667,0.6729
matrix,3,FLM1,40,0.3884,0.4219,2.647,2.742,0.9108,0.9069
matrix,3,FLM1,71,0.6472,0.6715,1.588,1.745,0.7428,0.7
matrix,3,FLM1,68,0.619,0.5989,1.85,1.986,0.8329,0.8367
matrix,3,FLM1,39,0.7679,0.7864,1.779,1.955,0.7669,0.7645
matrix,3,FLM1,57,0.7408,0.8055,2.321,2.171,0.7886,0.7303
matrix,3,FLM1,51,0.6967,0.9749,1.765,1.779,0.7154,0.5747
matrix,3,FLM1,50,0.4328,0.5474,2.524,2.883,0.9345,0.9298
matrix,3,FLM1,59,0.6993,0.7652,1.519,1.619,0.7154,0.6794
matrix,3,FLM1,58,0.7148,0.7164,1.803,1.976,0.8181,0.8212
matrix,3,FLM1,62,0.6844,0.6107,1.62,1.817,0.7152,0.7585
matrix,3,FLM1,61,0.7579,0.7816,1.576,1.667,0.7201,0.6949
matrix,3,FLM1,60,0.5741,0.6917,1.71,1.761,0.803,0.7596
matrix,3,FLM1,63,0.7133,0.8402,1.722,1.877,0.8581,0.8341
matrix,3,FLM1,49,0.7782,0.8901,2.156,2.009,0.8724,0.864
matrix,3,FLM1,48,0.6286,0.6877,1.903,2.143,0.8398,0.8077
matrix,3,FLM1,79,0.5425,0.4891,1.927,1.999,0.7711,0.7873
matrix,3,FLM1,78,0.3383,0.4216,2.976,2.689,0.9247,0.8856
matrix,3,FLM1,76,0.4634,0.4466,1.878,1.915,0.8234,0.8246
matrix,3,FLM1,77,0.7093,0.7247,1.62,1.775,0.7353,0.7426
matrix,3,FLM1,80,0.4704,0.6515,2.07,1.947,0.8425,0.784
matrix,3,FLM1,98,0.5945,0.6863,2.144,2.016,0.8584,0.8485
matrix,3,FLM1,85,0.6799,0.7084,1.698,1.805,0.818,0.7963
matrix,3,FLM1,93,0.5375,0.6164,2.65,2.881,0.8824,0.8751
matrix,3,FLM1,84,0.7689,0.7972,1.718,1.947,0.7373,0.738
matrix,3,FLM1,92,0.7481,0.7475,1.551,1.646,0.6705,0.6642
matrix,3,FLM1,90,0.5339,0.5965,1.668,1.849,0.8158,0.7875
matrix,3,FLM1,95,0.5804,0.524,1.815,2.006,0.7929,0.812
matrix,3,FLM1,87,0.6146,0.6467,1.553,1.724,0.7902,0.7888
matrix,3,FLM1,100,0.6084,0.6472,1.763,2.029,0.7873,0.7907
matrix,3,FLM1,94,0.7747,0.8508,1.691,1.788,0.7553,0.7085
matrix,3,FLM1,89,0.6651,0.7295,1.765,1.993,0.8192,0.8014
matrix,3,FLM1,99,0.7596,0.7913,1.899,2.208,0.7894,0.7833
matrix,3,FLM1,82,0.6359,0.6044,2.914,2.913,0.9032,0.9057
matrix,3,FLM1,81,0.5461,0.5872,1.65,1.747,0.8536,0.8433
matrix,3,FLM1,83,0.7,0.7577,1.957,2.095,0.8864,0.8827
matrix,3,FLM1,86,0.8323,0.8549,1.467,1.56,0.4923,0.468
matrix,3,FLM1,97,0.6637,0.7026,1.823,1.948,0.8557,0.837
matrix,3,FLM1,75,0.5999,0.5997,1.671,1.797,0.763,0.7813
matrix,3,FLM1,73,0.5685,0.5914,1.818,2.095,0.834,0.7932
matrix,3,FLM1,74,0.7386,0.872,1.863,2.007,0.8443,0.8091
matrix,3,FLM1,96,0.6705,0.8111,1.9,1.982,0.814,0.7656
matrix,3,FLM1,88,0.5308,0.5105,1.8,2.01,0.8545,0.8589
matrix,3,FLM1,91,0.6577,0.6787,1.71,1.835,0.7782,0.7722
matrix,3,FN1,34,0.5587,0.5598,1.45,1.626,0.8041,0.8032
matrix,3,FN1,33,0.5122,0.6873,1.419,1.573,0.8457,0.772
matrix,3,FN1,9,0.371,0.392,1.466,1.804,0.8995,0.8913
matrix,3,FN1,11,0.2479,0.2742,1.398,1.694,0.9619,0.9544
matrix,3,FN1,38,0.3771,0.3841,1.484,1.79,0.904,0.9035
matrix,3,FN1,40,0.2178,0.2931,1.484,1.905,0.9516,0.9375
matrix,3,FN1,18,0.4888,0.5347,1.445,1.781,0.9011,0.8909
matrix,3,FN1,30,0.3601,0.462,1.516,1.692,0.9063,0.8726
matrix,3,FN1,39,0.5894,0.6767,1.366,1.682,0.8278,0.805
matrix,3,FN1,6,0.4891,0.5718,1.522,1.645,0.8414,0.8061
matrix,3,FN1,41,0.6146,0.7473,1.368,1.646,0.8431,0.8049
matrix,3,FN1,13,0.2733,0.3794,1.49,1.677,0.9223,0.8975
matrix,3,FN1,8,0.7666,0.8015,1.504,1.561,0.7023,0.6823
matrix,3,FN1,21,0.5013,0.6409,1.419,1.766,0.9035,0.874
matrix,3,FN1,24,0.4784,0.6338,1.373,1.714,0.8828,0.8481
matrix,3,FN1,1,0.2738,0.3367,1.509,1.76,0.9382,0.9263
matrix,3,FN1,10,0.3333,0.3533,1.473,1.556,0.8617,0.8459
matrix,3,FN1,14,0.1176,0.1355,1.391,1.627,0.9611,0.9581
matrix,3,FN1,19,0.726,0.8098,1.441,1.554,0.7336,0.6598
matrix,3,FN1,2,0.451,0.5676,1.417,1.815,0.9099,0.8907
matrix,3,FN1,12,0.6652,0.6517,1.435,1.562,0.8567,0.8588
matrix,3,FN1,27,0.7075,0.7164,1.489,1.603,0.7523,0.7517
matrix,3,FN1,3,0.716,0.6911,1.474,1.568,0.6924,0.7267
matrix,3,FN1,32,0.5364,0.5829,1.429,1.54,0.9129,0.9049
matrix,3,FN1,7,0.2156,0.1929,1.536,1.701,0.9852,0.9862
matrix,3,FN1,5,0.4443,0.6483,1.498,1.67,0.9156,0.8808
matrix,3,FN1,44,0.3863,0.4927,1.394,1.65,0.9436,0.9305
matrix,3,FN1,15,0.46,0.5094,1.483,1.736,0.9138,0.9012
matrix,3,FN1,17,0.561,0.5618,1.47,1.54,0.7702,0.771
matrix,3,FN1,37,0.5254,0.6745,1.452,1.601,0.8363,0.8006
matrix,3,FN1,36,0.6616,0.7611,1.404,1.538,0.7249,0.6612
matrix,3,FN1,16,0.5631,0.7198,1.372,1.644,0.8587,0.8325
matrix,3,FN1,42,0.6075,0.6145,1.496,1.69,0.8078,0.8113
matrix,3,FN1,35,0.6536,0.7415,1.404,1.52,0.706,0.6096
matrix,3,FN1,29,0.5127,0.4745,1.462,1.639,0.8876,0.9019
matrix,3,FN1,26,0.3953,0.4975,1.381,1.717,0.9246,0.9025
matrix,3,FN1,71,0.5943,0.6274,1.458,1.63,0.7723,0.7258
matrix,3,FN1,22,0.4672,0.6005,1.504,1.601,0.8495,0.7909
matrix,3,FN1,25,0.3441,0.4958,1.399,1.883,0.9138,0.867
matrix,3,FN1,79,0.4159,0.3889,1.477,1.59,0.8305,0.835
matrix,3,FN1,31,0.4049,0.4047,1.429,1.526,0.8526,0.8602
matrix,3,FN1,20,0.6847,0.724,1.472,1.637,0.8099,0.7972
matrix,3,FN1,43,0.623,0.6004,1.437,1.593,0.8169,0.8338
matrix,3,FN1,82,0.3229,0.3665,1.48,1.766,0.9535,0.9448
matrix,3,FN1,28,0.6464,0.6895,1.41,1.556,0.7618,0.7476
matrix,3,FN1,62,0.598,0.5515,1.416,1.641,0.7573,0.7831
matrix,3,FN1,23,0.5166,0.5906,1.368,1.663,0.8969,0.8758
matrix,3,FN1,99,0.5966,0.5869,1.491,1.638,0.84,0.8458
matrix,3,FN1,76,0.3657,0.3786,1.482,1.624,0.8677,0.8576
matrix,3,FN1,52,0.4025,0.5051,1.434,1.698,0.9116,0.8722
matrix,3,FN1,91,0.5464,0.6034,1.421,1.631,0.8217,0.803
matrix,3,FN1,68,0.4573,0.5155,1.367,1.709,0.8804,0.8627
matrix,3,FN1,55,0.6305,0.5903,1.422,1.565,0.7257,0.7436
matrix,3,FN1,72,0.6024,0.6649,1.51,1.708,0.8452,0.8239
matrix,3,FN1,70,0.6578,0.7065,1.516,1.585,0.8025,0.7984
matrix,3,FN1,75,0.5222,0.5263,1.455,1.577,0.7998,0.8136
matrix,3,FN1,45,0.5971,0.7504,1.518,1.754,0.8139,0.7467
matrix,3,FN1,96,0.5339,0.6721,1.513,1.643,0.8552,0.8092
matrix,3,FN1,78,0.1744,0.2778,1.534,1.772,0.9621,0.9242
matrix,3,FN1,60,0.4909,0.6561,1.462,1.671,0.8354,0.77
matrix,3,FN1,64,0.5827,0.7356,1.46,1.687,0.8326,0.8068
matrix,3,FN1,56,0.4725,0.6092,1.467,1.512,0.8331,0.7394
matrix,3,FN1,97,0.5469,0.6169,1.502,1.711,0.8853,0.8596
matrix,3,FN1,48,0.5071,0.5327,1.535,1.66,0.8749,0.8571
matrix,3,FN1,50,0.2513,0.3916,1.465,2.062,0.9629,0.9514
matrix,3,FN1,89,0.5677,0.6253,1.507,1.708,0.8495,0.8341
matrix,3,FN1,84,0.6588,0.6415,1.472,1.567,0.7835,0.7981
matrix,3,FN1,59,0.6554,0.7228,1.423,1.529,0.7378,0.7025
matrix,3,FN1,88,0.4473,0.4237,1.517,1.668,0.8814,0.8851
matrix,3,FN1,58,0.6127,0.5896,1.545,1.626,0.8485,0.8563
matrix,3,FN1,57,0.4525,0.5732,1.418,1.544,0.8772,0.8167
matrix,3,FN1,77,0.6084,0.691,1.389,1.692,0.7799,0.7574
matrix,3,FN1,54,0.2312,0.2319,1.432,1.823,0.9552,0.9532
matrix,3,FN1,74,0.6025,0.7581,1.52,1.744,0.8752,0.8366
matrix,3,FN1,94,0.6338,0.7579,1.383,1.592,0.806,0.7461
matrix,3,FN1,69,0.2889,0.3141,1.469,1.725,0.9191,0.9021
matrix,3,FN1,49,0.5535,0.7359,1.533,1.661,0.9133,0.8871
matrix,3,FN1,81,0.4828,0.5559,1.458,1.654,0.8722,0.8527
matrix,3,FN1,83,0.5215,0.6627,1.458,1.832,0.9172,0.8989
matrix,3,FN1,47,0.6145,0.7373,1.47,1.594,0.7839,0.7255
matrix,3,FN1,86,0.8215,0.8341,1.448,1.522,0.5056,0.4897
matrix,3,FN1,95,0.4626,0.4475,1.447,1.713,0.8394,0.84
matrix,3,FN1,65,0.5919,0.58,1.45,1.501,0.7269,0.7349
matrix,3,FN1,73,0.4518,0.4735,1.445,1.677,0.8711,0.8396
matrix,3,FN1,92,0.6764,0.7064,1.403,1.555,0.7107,0.6915
matrix,3,FN1,90,0.4679,0.4902,1.462,1.519,0.841,0.8291
matrix,3,FN1,98,0.4215,0.5734,1.52,1.684,0.9031,0.8733
matrix,3,FN1,85,0.5823,0.665,1.454,1.695,0.8489,0.8164
matrix,3,FN1,51,0.5639,0.8488,1.429,1.549,0.7786,0.6358
matrix,3,FN1,67,0.4611,0.6222,1.39,1.614,0.8983,0.8615
matrix,3,FN1,66,0.4729,0.5686,1.338,1.692,0.8856,0.8637
matrix,3,FN1,63,0.6143,0.7491,1.483,1.674,0.8804,0.8548
matrix,3,FN1,53,0.6457,0.719,1.451,1.514,0.7495,0.7021
matrix,3,FN1,46,0.568,0.649,1.479,1.678,0.8645,0.8338
matrix,3,FN1,61,0.6817,0.7319,1.418,1.561,0.7551,0.7183
matrix,3,FN1,80,0.3227,0.5235,1.42,1.564,0.8953,0.8233
matrix,3,FN1,87,0.5844,0.6,1.477,1.599,0.8053,0.808
matrix,3,FN1,100,0.516,0.5427,1.496,1.701,0.8243,0.8312
matrix,3,FN1,93,0.2786,0.3704,1.374,1.731,0.9411,0.9269
matrix,3,FN1,4,0.5213,0.626,1.456,1.539,0.8036,0.7647
matrix,3,NN1,16,0.5135,0.7407,1.252,1.691,0.8752,0.8263
matrix,3,NN1,8,0.6014,0.8485,1.18,1.653,0.7748,0.6674
matrix,3,NN1,6,0.3896,0.5917,1.212,1.702,0.8756,0.7938
matrix,3,NN1,18,0.4011,0.5738,1.186,1.911,0.9201,0.8847
matrix,3,NN1,15,0.4029,0.4963,1.299,1.692,0.9253,0.9024
matrix,3,NN1,17,0.4557,0.5879,1.194,1.611,0.8207,0.7576
matrix,3,NN1,4,0.4425,0.6334,1.236,1.558,0.8364,0.7613
matrix,3,NN1,3,0.5666,0.7399,1.167,1.679,0.7623,0.7006
matrix,3,NN1,12,0.5405,0.6688,1.166,1.603,0.8852,0.8536
matrix,3,NN1,7,0.1959,0.1999,1.396,1.763,0.9867,0.9859
matrix,3,NN1,1,0.2302,0.3377,1.268,1.765,0.9475,0.9248
matrix,3,NN1,13,0.232,0.3964,1.265,1.752,0.9344,0.8941
matrix,3,NN1,10,0.2718,0.3719,1.202,1.638,0.8889,0.8358
matrix,3,NN1,11,0.2326,0.2807,1.312,1.734,0.9652,0.9548
matrix,3,NN1,5,0.3753,0.6732,1.265,1.734,0.9301,0.8759
matrix,3,NN1,2,0.3854,0.5965,1.211,1.907,0.923,0.8843
matrix,3,NN1,14,0.1059,0.1414,1.252,1.697,0.9651,0.9561
matrix,3,NN1,9,0.3065,0.4304,1.211,1.981,0.9201,0.8864
matrix,3,NN1,23,0.4684,0.6102,1.241,1.718,0.9059,0.8714
matrix,3,NN1,30,0.2932,0.4694,1.235,1.719,0.9232,0.87
matrix,3,NN1,33,0.4159,0.7084,1.152,1.621,0.8755,0.7592
matrix,3,NN1,29,0.4169,0.4971,1.189,1.717,0.9091,0.8965
matrix,3,NN1,21,0.4276,0.6554,1.21,1.806,0.9161,0.87
matrix,3,NN1,32,0.4601,0.6015,1.226,1.589,0.9262,0.9016
matrix,3,NN1,43,0.5065,0.6266,1.168,1.663,0.8533,0.8241
matrix,3,NN1,31,0.3433,0.4131,1.211,1.557,0.8766,0.8569
matrix,3,NN1,27,0.5487,0.7527,1.155,1.684,0.8136,0.7399
matrix,3,NN1,26,0.3422,0.5259,1.196,1.815,0.9374,0.8975
matrix,3,NN1,19,0.5839,0.8589,1.159,1.648,0.7924,0.6385
matrix,3,NN1,20,0.5637,0.7578,1.212,1.714,0.8542,0.7895
matrix,3,NN1,40,0.1928,0.2975,1.314,1.933,0.9582,0.9354
matrix,3,NN1,22,0.3705,0.6161,1.193,1.643,0.8818,0.7844
matrix,3,NN1,41,0.5495,0.7778,1.223,1.713,0.8641,0.7942
matrix,3,NN1,44,0.3462,0.5047,1.249,1.69,0.9496,0.9296
matrix,3,NN1,71,0.5018,0.6598,1.231,1.714,0.8117,0.7062
matrix,3,NN1,42,0.4791,0.6451,1.18,1.774,0.8519,0.8007
matrix,3,NN1,28,0.5194,0.742,1.133,1.675,0.8151,0.7264
matrix,3,NN1,25,0.2994,0.502,1.217,1.907,0.925,0.8653
matrix,3,NN1,72,0.4759,0.6528,1.193,1.677,0.8771,0.8216
matrix,3,NN1,34,0.4486,0.5849,1.164,1.699,0.8449,0.7889
matrix,3,NN1,37,0.4563,0.6982,1.261,1.658,0.8591,0.7929
matrix,3,NN1,24,0.4166,0.6394,1.195,1.729,0.8987,0.8469
matrix,3,NN1,36,0.5675,0.7884,1.205,1.594,0.7698,0.6491
